s2,psi,location
0.05945085700391433,0.7406083695280483,Congo
0.009049341718468886,0.5385620806876534,Costa Rica
0.0060105673621883154,0.4485303557955039,Cote d'Ivoire
0.01010802098954902,0.47727577240190733,Croatia
0.004523813565593513,0.524217735127629,Cuba
0.10856547574276812,0.3287030674405669,Curacao
0.027290746907666034,0.5444593714501595,Cyprus
0.02538516591863798,0.4702964965949969,Czech Republic
0.06574968125720497,0.6799295718425565,Democratic Republic of Congo
0.012379797279459691,0.42466993096822864,Denmark
0.08981468003506285,0.7074816850913445,Djibouti
0.32501081921774416,0.025222274053785115,Dominica
0.004107903397996837,0.5760415480609554,Dominican Republic
0.5499990794844797,0.9135459493300164,Ecuador
0.01408450848494543,0.6578994123311075,Egypt
0.01812741305584508,0.6969424107260829,El Salvador
0.12427324275230352,0.8589768895963956,Equatorial Guinea
0.13652646829211332,0.518165046384751,Eritrea
0.05700292324411751,0.6404747292530792,Estonia
0.12640322568943985,0.7368296554207817,Ethiopia
0.6383155227862188,0.3133698391116093,Faeroe Islands
0.5391199757563211,0.7791651075872864,Falkland Islands
0.3094877299828175,0.5125346683790383,Fiji
0.013839771935980117,0.6450879090273229,Finland
0.018325964018927526,0.581227500858204,France
0.2045032400039447,0.6790533729702419,French Polynesia
0.05409954055655955,0.578692485430592,Gabon
0.22848070664936754,0.6831297817268073,Gambia
0.050749145376779714,0.736602615519818,Georgia
0.008970733294414758,0.572531076873802,Germany
0.09818066817264813,0.8367716690924815,Ghana
0.11253011747816154,0.617356478475153,Gibraltar
0.023611991870993103,0.6567228950259648,Greece
0.20098150437744616,0.0,Greenland
0.25965950620312134,0.49328647304508016,Grenada
0.07010771904011746,0.5782492128605833,Guam
0.06797993841041604,0.5228527564311107,Guatemala
0.05235407116045549,0.5348328967625884,Guernsey
0.013460125052011307,0.6151877746398776,Guinea
0.06686725161559884,0.6989267243791474,Guinea-Bissau
0.03026116082219896,0.629118824046344,Guyana
0.07930261020651569,0.5900859481773534,Haiti
0.028902106709986587,0.6700805267430681,Honduras
0.03497364912412823,0.6094329144062487,Hungary
0.020553079311080198,0.6110604069099623,Iceland
0.01360814077138563,0.4853927873339293,India
0.008152011410866907,0.485987205044494,Indonesia
0.03423679805460226,0.8029569619810047,Iran
0.0446850445933283,0.6967976840953409,Iraq
0.020667605780935728,0.5091475768755047,Ireland
0.1167755009336742,0.7037677666034674,Isle of Man
0.02840080257576002,0.6510591518022448,Israel
0.0014030462599575132,0.4852078335565098,Italy
0.05429416928042884,0.5999880366107846,Jamaica
0.07720634730581383,0.6664354414074913,Japan
0.09270271222418178,0.7844444337062371,Jersey
0.015003310131204081,0.5790314018733411,Jordan
0.009867500607901617,0.5301494938228037,Kazakhstan
0.06881358611148508,0.5961005855491238,Kenya
0.061152317897079075,0.6872685639451974,Kosovo
0.01618316808690322,0.5917223958638724,Kuwait
0.020507505647727173,0.6282569769912189,Kyrgyzstan
0.16765908350905132,0.3684918758413834,Laos
0.05521324359859522,0.7221094504707891,Latvia
0.05391347540939108,0.6188056892291944,Lebanon
0.5135143747552517,-0.0,Lesotho
0.024521387945475374,0.5494060876035914,Liberia
0.2575449201184516,0.7748260602076242,Libya
0.25484177066403435,0.174437054044571,Liechtenstein
2.905629830856788e-05,0.7622169757654851,Lithuania
0.02829706111316525,0.6187009447390858,Luxembourg
0.032657366434397914,0.6613034986713449,Macedonia
0.11848935685023462,0.5720937607858717,Madagascar
0.18665277227947094,0.8433220493624334,Malawi
